Attack_type,Edge_indice_in_testgraph,Edge_indice_in_subgraph,Dependency_freq,Graph_path
Brute Force,7205,113,"{'BENIGN': 48.95920066611158, 'DoS Hulk': 20.77435470441299, 'PortScan': 17.5270607826811, 'DDoS': 8.61781848459617, 'DoS slowloris': 0.9991673605328892, 'FTP-Patator': 0.9159034138218152, 'SSH-Patator': 0.6661115736885929, 'DoS Slowhttptest': 0.5828476269775187, 'DoS GoldenEye': 0.4579517069109076, 'Brute Force': 0.29142381348875934, 'XSS': 0.20815986677768525}",/home/ahmed/GNN-Based-ANIDS/GNN-Based-ANIDS/jupyter_notebooks/XAI/GNNExplainer/subgraph_for_each_attack/g_attckDoS slowloris.bin
XSS,21601,2009,"{'BENIGN': 49.94021522518931, 'DoS Hulk': 20.685532084495815, 'PortScan': 17.33758469509765, 'DDoS': 8.290155440414509, 'FTP-Patator': 0.9166998804304504, 'SSH-Patator': 0.6775607811877242, 'DoS slowloris': 0.6377042646472698, 'DoS GoldenEye': 0.5978477481068154, 'DoS Slowhttptest': 0.47827819848545233, 'Brute Force': 0.23913909924272617, 'XSS': 0.19928258270227184}",/home/ahmed/GNN-Based-ANIDS/GNN-Based-ANIDS/jupyter_notebooks/XAI/GNNExplainer/subgraph_for_each_attack/g_attckDoS slowloris.bin
Sql Injection,47370,182,"{'BENIGN': 47.933549432739056, 'DoS Hulk': 21.110210696920582, 'PortScan': 18.152350081037277, 'DDoS': 8.79254457050243, 'FTP-Patator': 1.094003241491086, 'DoS slowloris': 1.053484602917342, 'SSH-Patator': 0.5672609400324149, 'DoS Slowhttptest': 0.44570502431118314, 'Brute Force': 0.3646677471636953, 'DoS GoldenEye': 0.3646677471636953, 'XSS': 0.08103727714748785, 'Sql Injection': 0.04051863857374392}",/home/ahmed/GNN-Based-ANIDS/GNN-Based-ANIDS/jupyter_notebooks/XAI/GNNExplainer/subgraph_for_each_attack/g_attckDoS GoldenEye.bin
Heartbleed,124271,1,"{'Heartbleed': 50.0, 'BENIGN': 50.0}",/home/ahmed/GNN-Based-ANIDS/GNN-Based-ANIDS/jupyter_notebooks/XAI/GNNExplainer/subgraph_for_each_attack/g_attckBrute Force.bin
DoS Hulk,0,259,"{'BENIGN': 50.495049504950494, 'DoS Hulk': 20.379537953795378, 'PortScan': 17.07920792079208, 'DDoS': 8.085808580858085, 'FTP-Patator': 1.0313531353135312, 'SSH-Patator': 0.7838283828382838, 'DoS slowloris': 0.7425742574257426, 'DoS GoldenEye': 0.49504950495049505, 'DoS Slowhttptest': 0.45379537953795385, 'Brute Force': 0.24752475247524752, 'XSS': 0.20627062706270624}",/home/ahmed/GNN-Based-ANIDS/GNN-Based-ANIDS/jupyter_notebooks/XAI/GNNExplainer/subgraph_for_each_attack/g_attckDoS slowloris.bin
DDoS,3151,1619,"{'BENIGN': 49.69818913480885, 'DoS Hulk': 20.603621730382294, 'PortScan': 17.74647887323944, 'DDoS': 7.806841046277666, 'FTP-Patator': 1.0060362173038229, 'SSH-Patator': 0.9255533199195171, 'DoS slowloris': 0.8853118712273641, 'DoS GoldenEye': 0.5633802816901409, 'Brute Force': 0.3621730382293763, 'DoS Slowhttptest': 0.28169014084507044, 'XSS': 0.12072434607645875}",/home/ahmed/GNN-Based-ANIDS/GNN-Based-ANIDS/jupyter_notebooks/XAI/GNNExplainer/subgraph_for_each_attack/g_attckDoS slowloris.bin
PortScan,1,260,"{'BENIGN': 49.56279809220986, 'DoS Hulk': 19.793322734499206, 'PortScan': 18.60095389507154, 'DDoS': 7.869634340222575, 'FTP-Patator': 1.152623211446741, 'DoS slowloris': 0.834658187599364, 'SSH-Patator': 0.7949125596184419, 'DoS GoldenEye': 0.43720190779014306, 'Brute Force': 0.39745627980922094, 'DoS Slowhttptest': 0.39745627980922094, 'XSS': 0.1589825119236884}",/home/ahmed/GNN-Based-ANIDS/GNN-Based-ANIDS/jupyter_notebooks/XAI/GNNExplainer/subgraph_for_each_attack/g_attckDoS slowloris.bin
FTP-Patator,6834,1703,"{'BENIGN': 50.4889532777979, 'DoS Hulk': 20.39116262223832, 'PortScan': 16.769286490402028, 'DDoS': 8.33031510322347, 'FTP-Patator': 1.3763129300977905, 'DoS slowloris': 0.8330315103223469, 'SSH-Patator': 0.6157189424121695, 'DoS GoldenEye': 0.4346251358203549, 'DoS Slowhttptest': 0.398406374501992, 'Brute Force': 0.2535313292285404, 'XSS': 0.10865628395508872}",/home/ahmed/GNN-Based-ANIDS/GNN-Based-ANIDS/jupyter_notebooks/XAI/GNNExplainer/subgraph_for_each_attack/g_attckDoS slowloris.bin
Bot,3825,8,"{'Bot': 90.47619047619048, 'BENIGN': 9.523809523809524}",/home/ahmed/GNN-Based-ANIDS/GNN-Based-ANIDS/jupyter_notebooks/XAI/GNNExplainer/subgraph_for_each_attack/g_attckBrute Force.bin
DoS slowloris,10167,2147,"{'BENIGN': 49.14308489438023, 'DoS Hulk': 20.127540852929453, 'PortScan': 18.37385412514946, 'DDoS': 8.170585890793145, 'DoS slowloris': 0.9964129135113591, 'FTP-Patator': 0.9565563969709047, 'SSH-Patator': 0.6775607811877242, 'DoS GoldenEye': 0.5181347150259068, 'DoS Slowhttptest': 0.5181347150259068, 'Brute Force': 0.3188521323236349, 'XSS': 0.19928258270227184}",/home/ahmed/GNN-Based-ANIDS/GNN-Based-ANIDS/jupyter_notebooks/XAI/GNNExplainer/subgraph_for_each_attack/g_attckDoS slowloris.bin
DoS GoldenEye,7734,273,"{'BENIGN': 50.474618241848944, 'DoS Hulk': 19.645068097399918, 'PortScan': 17.210070160957493, 'DDoS': 8.171687990094924, 'FTP-Patator': 1.0730499380932728, 'DoS slowloris': 1.031778786628147, 'SSH-Patator': 0.990507635163021, 'DoS GoldenEye': 0.5365249690466364, 'DoS Slowhttptest': 0.37144036318613294, 'Brute Force': 0.37144036318613294, 'XSS': 0.12381345439537762}",/home/ahmed/GNN-Based-ANIDS/GNN-Based-ANIDS/jupyter_notebooks/XAI/GNNExplainer/subgraph_for_each_attack/g_attckDoS slowloris.bin
DoS Slowhttptest,6892,265,"{'BENIGN': 50.9541209906618, 'DoS Hulk': 18.879415347137638, 'PortScan': 17.377182298010556, 'DDoS': 8.32318311002842, 'FTP-Patator': 1.0556232237109215, 'SSH-Patator': 0.8526187576126675, 'DoS slowloris': 0.8526187576126675, 'DoS Slowhttptest': 0.6090133982947624, 'DoS GoldenEye': 0.5684125050751117, 'Brute Force': 0.40600893219650835, 'XSS': 0.12180267965895249}",/home/ahmed/GNN-Based-ANIDS/GNN-Based-ANIDS/jupyter_notebooks/XAI/GNNExplainer/subgraph_for_each_attack/g_attckDoS slowloris.bin
SSH-Patator,2902,730,"{'BENIGN': 53.76055257099003, 'DoS Hulk': 18.726016884113584, 'PortScan': 16.34689178818112, 'DDoS': 7.559478127398311, 'DoS slowloris': 0.8058326937835764, 'FTP-Patator': 0.8058326937835764, 'SSH-Patator': 0.7674597083653107, 'DoS GoldenEye': 0.422102839600921, 'DoS Slowhttptest': 0.38372985418265537, 'Brute Force': 0.34535686876438987, 'XSS': 0.07674597083653108}",/home/ahmed/GNN-Based-ANIDS/GNN-Based-ANIDS/jupyter_notebooks/XAI/GNNExplainer/subgraph_for_each_attack/g_attckDoS slowloris.bin
Infiltration,49025,0,{'Infiltration': 100.0},/home/ahmed/GNN-Based-ANIDS/GNN-Based-ANIDS/jupyter_notebooks/XAI/GNNExplainer/subgraph_for_each_attack/g_attckBENIGN.bin
