Feature_name,Importance_weight
 Subflow Bwd Bytes,0.5767032504081726
 Bwd Packet Length Min,0.5629134178161621
Idle Mean,0.5488668084144592
 Avg Bwd Segment Size,0.5415998101234436
 Fwd Packet Length Max,0.5355433225631714
 Packet Length Variance,0.5347647666931152
 Active Std,0.5334944128990173
 Bwd Avg Bytes/Bulk,0.5316829085350037
 Subflow Bwd Packets,0.5316684246063232
 Average Packet Size,0.53141188621521
Bwd Packet Length Max,0.5306876301765442
 Fwd Header Length,0.5252875685691833
 Fwd Avg Packets/Bulk,0.5217777490615845
 Total Length of Bwd Packets,0.5204943418502808
 Bwd IAT Mean,0.5197011828422546
 Total Fwd Packets,0.518684983253479
 Fwd Header Length.1,0.5165467858314514
 Bwd URG Flags,0.5163837671279907
 ACK Flag Count,0.5158645510673523
Subflow Fwd Packets,0.5156969428062439
 Bwd PSH Flags,0.5151702165603638
 Packet Length Std,0.5144891142845154
 URG Flag Count,0.5140336155891418
 Avg Fwd Segment Size,0.5124170184135437
 ECE Flag Count,0.5118159055709839
 Init_Win_bytes_backward,0.5107054710388184
 Bwd IAT Min,0.5095940828323364
 Idle Std,0.508863091468811
 Max Packet Length,0.507643461227417
Fwd PSH Flags,0.507300078868866
Fwd IAT Total,0.5070452690124512
 Fwd Avg Bulk Rate,0.5047922730445862
 SYN Flag Count,0.5034816861152649
 Idle Min,0.5007172226905823
 Flow IAT Mean,0.49990972876548767
 act_data_pkt_fwd,0.497679740190506
 Bwd IAT Std,0.4970322549343109
 Flow IAT Std,0.496778279542923
 RST Flag Count,0.4961903393268585
 Fwd Packet Length Mean,0.49616768956184387
Bwd IAT Total,0.4952440559864044
 Fwd IAT Mean,0.49491584300994873
 Flow Duration,0.4939393699169159
 Min Packet Length,0.4919522702693939
 Bwd Packet Length Std,0.49101853370666504
 Idle Max,0.49078360199928284
Total Length of Fwd Packets,0.48664113879203796
 Flow IAT Max,0.48588982224464417
 Active Max,0.4845133423805237
 min_seg_size_forward,0.4840591847896576
 Bwd IAT Max,0.4831261932849884
 Bwd Packet Length Mean,0.4829801619052887
Fwd Avg Bytes/Bulk,0.4822637736797333
 Total Backward Packets,0.48157811164855957
 Fwd Packet Length Std,0.48120373487472534
 Fwd IAT Min,0.47948750853538513
 Down/Up Ratio,0.4781898558139801
 Bwd Packets/s,0.4772816002368927
 Bwd Header Length,0.47618141770362854
 Fwd IAT Std,0.4758232533931732
Fwd Packets/s,0.47577759623527527
 Active Min,0.47470614314079285
 PSH Flag Count,0.47366222739219666
 CWE Flag Count,0.4703596830368042
 Protocol,0.4662129580974579
Bwd Avg Bulk Rate,0.4660184383392334
 Fwd IAT Max,0.4637254476547241
 Fwd Packet Length Min,0.4624233841896057
Init_Win_bytes_forward,0.46132132411003113
Active Mean,0.4610225558280945
 Bwd Avg Packets/Bulk,0.4599197506904602
 Subflow Fwd Bytes,0.45810338854789734
 Packet Length Mean,0.4569971263408661
 Flow IAT Min,0.44951707124710083
 Fwd URG Flags,0.4472987651824951
FIN Flag Count,0.4424530863761902
