Feature_name,Importance_weight
 Average Packet Size,0.9058452248573303
 Bwd IAT Min,0.9053015112876892
 Bwd IAT Max,0.9008485674858093
Idle Mean,0.8809148073196411
 Bwd Packet Length Std,0.8793624639511108
 Idle Max,0.8651264905929565
 Init_Win_bytes_backward,0.8566505312919617
 Fwd Packet Length Std,0.8444173336029053
 Flow IAT Mean,0.8387885093688965
Total Length of Fwd Packets,0.83575838804245
 Active Std,0.8243991732597351
 Down/Up Ratio,0.8207530975341797
Fwd Packets/s,0.8180412650108337
 PSH Flag Count,0.8175545334815979
 Fwd Header Length.1,0.808840811252594
 Avg Bwd Segment Size,0.8071764707565308
Bwd Avg Bulk Rate,0.8049140572547913
 Total Fwd Packets,0.8001314997673035
 ECE Flag Count,0.7896440029144287
 Min Packet Length,0.783905029296875
 Max Packet Length,0.7748907208442688
 Protocol,0.7728251814842224
Subflow Fwd Packets,0.7692015767097473
 Fwd Packet Length Mean,0.7661587595939636
 Idle Std,0.7309499382972717
 Fwd IAT Max,0.658318817615509
 SYN Flag Count,0.6384247541427612
 Fwd Packet Length Max,0.6290652751922607
 Bwd Packets/s,0.5554654598236084
 Packet Length Mean,0.5317222476005554
 Total Length of Bwd Packets,0.5161842107772827
 Avg Fwd Segment Size,0.5158794522285461
 Idle Min,0.5072327852249146
Fwd PSH Flags,0.502136766910553
Bwd IAT Total,0.49859359860420227
 CWE Flag Count,0.49114182591438293
 Fwd Avg Bulk Rate,0.4797718822956085
 Fwd IAT Std,0.4730207026004791
 Bwd IAT Std,0.4599551260471344
 Fwd Header Length,0.40652894973754883
 Packet Length Std,0.4061792194843292
 Bwd Packet Length Min,0.38855382800102234
Fwd IAT Total,0.2917708158493042
 act_data_pkt_fwd,0.27188917994499207
 Active Min,0.2553054690361023
 Bwd URG Flags,0.2539365291595459
 Flow IAT Max,0.22943133115768433
 Total Backward Packets,0.2144864946603775
 Flow IAT Std,0.20917214453220367
 URG Flag Count,0.20602832734584808
Bwd Packet Length Max,0.2020038217306137
Fwd Avg Bytes/Bulk,0.19633366167545319
 Subflow Bwd Packets,0.18910925090312958
 Bwd Avg Bytes/Bulk,0.18207955360412598
FIN Flag Count,0.1816348284482956
 Fwd Packet Length Min,0.1756153106689453
 Bwd Avg Packets/Bulk,0.17115060985088348
 min_seg_size_forward,0.16926175355911255
 Fwd IAT Mean,0.16913482546806335
 Bwd Header Length,0.16296866536140442
Active Mean,0.15167170763015747
 Active Max,0.14442719519138336
 Subflow Fwd Bytes,0.14319325983524323
 ACK Flag Count,0.13720765709877014
 Packet Length Variance,0.1310264617204666
 Fwd URG Flags,0.12926103174686432
 Subflow Bwd Bytes,0.1269449144601822
 Flow IAT Min,0.12497907876968384
 RST Flag Count,0.12452654540538788
 Fwd Avg Packets/Bulk,0.11730056256055832
 Bwd Packet Length Mean,0.11405543982982635
 Flow Duration,0.11297184973955154
Init_Win_bytes_forward,0.10205643624067307
 Fwd IAT Min,0.10194674879312515
 Bwd PSH Flags,0.09641826897859573
 Bwd IAT Mean,0.07159256190061569
